term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-194.01964665685003,6.664058495641083,-29.11433727416364,3.1152078578863956e-125,-207.10210161583245,-180.9371916978676
log_mil,-0.14311232949471908,0.01612277654138547,-8.876407182557223,5.036856577940946e-18,-0.1747635369465112,-0.11146112204292695
ar,0.102723670705391,0.0032872126227324154,31.24947561804032,7.140278678593638e-138,0.09627042436824908,0.10917691704253292
hk,0.00182220828087497,3.099783855747294e-4,5.878501100960387,6.23208126319487e-9,0.0012136784682702318,0.0024307380934797083
bransleDiesel,0.16509286623644587,0.04407393413215852,3.74581642159296,1.9361334222658678e-4,0.07856972744253088,0.25161600503036086
bransleEl,-0.1432121089450556,0.06105864393328726,-2.34548459840558,0.019262373938580768,-0.2630785476379728,-0.023345670252138434
bransleMiljöbränsle/Hybrid,-0.02675158137174042,0.04458713814217349,-0.5999842664590529,0.5486981904246633,-0.1142822095732261,0.060779046829745255
vaxelladaManuell,-0.24677108444271514,0.04323327185469292,-5.70789750246322,1.6482649764358862e-8,-0.33164388862629424,-0.16189828025913605
drivningTvåhjulsdriven,-0.12096218717855794,0.04690805868829117,-2.5787080207766433,0.01010679810930781,-0.2130490986911553,-0.028875275665960598
